English,Persian
annoy,آزار
annoyed,اذیت
annoying,مزاحم
annual,سالیانه
annually,سالانه
another,یکی دیگر
answer,پاسخ
anti-,ضد
anticipate,پیش بینی
anxiety,اضطراب
anxious,مشتاق
anxiously,مشتاقانه
any,هر
anybody,هر شخصی
anyone,هر کسی
anything,هر چیزی
anyway,به هر حال
anywhere,هر جا
apart,جدا از هم
apart from,جدا از
apartment,اپارتمان
apologize,عذر خواهی کردن
apparent,آشکار
apparently,ظاهرا
appeal,درخواست
appear,به نظر می رسد
appearance,ظاهر
apple,سیب
application,کاربرد
apply,درخواست دادن
appoint,منصوب کردن
appointment,وقت ملاقات
appreciate,قدردانی
approach,رویکرد
appropriate,مناسب
approval,تصویب
approve,تایید
approving,تصویب
approximate,تقریبی
approximately,تقریبا
April,آوریل
area,حوزه
argue,جر و بحث
argument,بحث و جدل
arise,بوجود امدن
arm,بازو
armed,مسلح
arms,سلاح
army,ارتش
around,دور و بر
arrange,ترتیب دادن
arrangement,ترتیب
arrest,دستگیری
arrival,ورود
arrive,رسیدن
arrive at,رسیدن به
arrow,فلش
art,هنر
article,مقاله
artificial,ساختگی
artificially,مصنوعی
artist,هنرمند
artistic,هنرمندانه
artistically,بطور هنرمندانه یا هنری
as,مانند
ashamed,شرمنده
aside,گذشته از
aside from,جدای از
ask,پرسیدن
asleep,خواب
aspect,جنبه
assist,همکاری
assistance,معاونت
assistant,دستیار
associate,وابسته
associated,مرتبط است
association,اتحادیه
assume,فرض
assure,اطمینان دادن
at,در
atmosphere,جو
atom,اتم
attach,ضمیمه کردن
attached,وابسته
attack,حمله
attempt,تلاش
attempted,تلاش
attend,مراجعه كردن
attend to,حضور به
attention,توجه
attitude,نگرش
attorney,وکیل
attract,جذب
attraction,جاذبه
attractive,جذاب
audience,حضار
August,اوت
aunt,عمه
author,نویسنده
authority,قدرت
automatic,اتوماتیک
automatically,بطور خودکار
autumn,فصل پاییز
available,در دسترس
average,میانگین
avoid,اجتناب کردن
awake,بیدار
award,جایزه
aware,آگاه
away,دور
awful,خیلی بد و ناخوشایند
awfully,بدجور
awkward,بی دست و پا - به شکلی نامناسب
awkwardly,ناشیانه
baby,عزیزم
back,بازگشت
background,زمینه
back up,پشتیبان گیری
backward,به عقب
backwards,به عقب
bacteria,باکتری
bad,بد
badly,بد
bad-tempered,بد اخلاق
bag,کیسه
baggage,بار سفر
bake,پختن
balance,تعادل
ball,توپ
ban,منع
band,باند
bandage,نوار زخم بندی
bank,بانک
bar,بار
bargain,چانه زدن
barrier,مانع
base,پایه
based,مستقر
base on,بر اساس
basic,پایه ای
basically,اساسا
basis,اساس
bath,وان
bathroom,حمام
battery,باتری
battle,نبرد
bay,سرخ مایل به قرمز
be,بودن
beach,ساحل دریا
beak,منقار
bear,خرس
beard,ریش
beat,ضرب و شتم
beat up,ضرب و شتم
beautiful,زیبا
beautifully,زیبایی
beauty,زیبایی
because,زیرا
because of,به خاطر اینکه
become,شدن
bed,بستر
bedroom,اتاق خواب
beef,گوشت گاو
beer,آبجو
before,قبل از
begin,شروع
beginning,آغاز
behalf,از طرف
behave,رفتار کردن
behaviour,رفتار - اخلاق
behind,پشت
be left over,شود بیش از سمت چپ
belief,باور
believe,ایمان داشتن
believe in,باور
bell,ناقوس
belong,تعلق داشتن
belong to,متعلق به
below,در زیر
belt,کمربند
bend,خم
beneath,در زیر
benefit,سود
bent,خم
beside,در کنار
best,بهترین
bet,شرط
better,بهتر
betting,شرط بندی
between,بین
beyond,فراتر
bicycle,دوچرخه
bid 1,پیشنهاد 1
big,بزرگ
bike,دوچرخه
bill,لایحه
billion,بیلیون
bin,صندوقچه
biology,زیست شناسی
bird,پرنده
birth,تولد
birthday,روز تولد
biscuit,بیسکویت
bit,ذره
bite,گاز
bitter,تلخ
bitterly,به تلخی
black,سیاه
blade,تیغه
blame,سرزنش
blank,جای خالی
blind,کور
block,مسدود کردن
blonde,طلایی
blood,خون
blow,فوت کردن، دمیدن
blow out,منفجر شدن
blow up,منفجر کردن
blue,آبی
board,تخته
boat,قایق
body,بدن
boil,جوش
bomb,بمب
bone,استخوان
book,کتاب
boot,پوتین
border,مرز
bore,منفذ
bored,خسته
boring,حوصله سر بر
born,بدنیا آمدن
borrow,امانت گرفتن
boss,رئيس
both,هر دو
bother,زحمت
bottle,بطری
bottom,پایین
bound,کران
bowl,کاسه
box,جعبه
boy,پسر
boyfriend,دوست پسر
brain,مغز
branch,شاخه
brand,نام تجاری
brave,شجاع
bread,نان
break,زنگ تفريح
break down,درهم شکستن
breakfast,صبحانه
break in,مدافعان
break into,شکستن به
break off,قطع
break out,تاول زدن
break up,تفکیک کردن
breast,پستان
breath,نفس
breathe,نفس کشیدن
breathe in,نفس کشیدن در
breathe out,نفس کشیدن
breathing,نفس كشيدن
breed,نژاد
brick,آجر
bridge,پل
brief,مختصر
briefly,به طور خلاصه
bright,روشن
brightly,روشن
brilliant,درخشان
bring,را
bring back,برگرداندن
bring down,پایین آوردن
bring forward,نظر کردن به
bring out,بیرون بیار
bring up,مطرح کردن
broad,پهن
broadcast,پخش
broadly,به طور گسترده
broken,شکسته شده
brother,برادر
brown,رنگ قهوه ای
brush,قلم مو
bubble,حباب
budget,بودجه
build,ساختن
building,ساختمان
build up,ساختن
bullet,گلوله
bunch,دسته
burn,سوختگی
burn down,رایت کردن
burnt,سوخته
burst,انفجار
burst into,پشت سر هم به
burst out,پشت سر هم
bury,دفن کردن
bus,اتوبوس
bush,بوته
business,کسب و کار
businessman,تاجر
busy,مشغول
but,ولی
butter,کره
button,دکمه
buy,خرید
buyer,خریدار
by,توسط
bye,خدا حافظ
cabinet,کابینه
cable,کابل
cake,کیک
calculate,محاسبه
calculation,محاسبه
call,صدا زدن
call back,تماس پاسخ
called,نام
call for,تماس برای
call off,منحرف کردن
call up,احضار کردن
calm,آرام
calm down,آرام باش
calmly,آرامش
camera,دوربین
camp,اردوگاه
campaign,پویش
camping,چادر زدن
can 1,می توانید 1
can 2,می 2
cancel,لغو کردن
cancer,سرطان
candidate,نامزد
candy,آب نبات
cannot,نمی توانید
cap,کلاه لبه دار
capable,توانا
capacity,ظرفیت
capital,سرمایه، پایتخت
captain,ناخدا
capture,گرفتن
car,ماشین
card,کارت
cardboard,مقوا
care,مراقبت
career,حرفه
care for,مراقبت از
careful,دقیق
carefully,با دقت
careless,بی توجه
carelessly,بدون توجه
carpet,فرش
carrot,هویج
carry,حمل
carry on,ادامه دادن
carry out,انجام دادن
case,مورد
cash,پول نقد
cast,قالب
castle,قلعه
cat,گربه
catch,گرفتن
catch up,گرفتن
category,دسته بندی
cause,علت
CD,سی دی
cease,دست کشیدن
ceiling,سقف
celebrate,جشن گرفتن
celebration,جشن
cell,سلول
cell phone,تلفن همراه
cent,درصد
centimetre,سانتی متر
central,مرکزی
centre,مرکز
century,قرن
ceremony,مراسم
certain,مسلم - قطعی
certainly,قطعا
certificate,گواهی نامه
chain,زنجیر
chair,صندلی
chairman,رئيس هیئت مدیره
chairwoman,رئیس
challenge,چالش
chamber,محفظه - اتاق
chance,شانس. فرصت
change,تغییر دادن
change round,دور تغییر
channel,کانال
chapter,فصل
character,شخصیت
characteristic,مشخصه
charge,شارژ
charity,صدقه
chart,چارت سازمانی
chase,تعقیب
chase away,تعقیب دور
chat,گپ
cheap,ارزان
cheaply,ارزان
cheat,فریب دادن
cheat of,تقلب از
check,بررسی
check in,بررسی در
check into,بررسی به
check on,بررسی کن، بازرسی کن
check out,وارسی
check over,بررسی بیش از
check up on,چک کردن در
cheek,گونه
cheerful,بشاش
cheerfully,خوش
cheese,پنیر
chemical,شیمیایی
chemist,شیمی دان
chemistry,علم شیمی
cheque,بررسی
chest,قفسه سینه
chew,جویدن
chicken,جوجه
chief,رئیس
child,کودک
chin,چانه
chip,تراشه
chocolate,شکلات
choice,انتخاب
choose,انتخاب کنید
chop,تکه کردن
chop down,ریز ریز کردن
chop off,ریز ریز کردن
church,کلیسا
cigarette,سیگار
cinema,سینما
circle,دایره
circumstance,چگونگی، امر، تفصیل، شرایط محیط، پیش امد، شرح
citizen,شهروند
city,شهرستان
civil,مدنی
claim,مطالبه
clap,کف زدن
class,کلاس
classic,کلاسیک
classroom,کلاس درس
clean,تمیز
clean up,پاک کردن
clear,واضح
clearly,به وضوح
clear out,پاک کردن
clear up,پاکسازی
clerk,منشی
clever,باهوش
click,کلیک
client,مشتری
climate,اقلیم
climb,بالا رفتن
climbing,سنگ نوردی
clock,ساعت
close 1,نزدیک 1
close 2,نزدیک 2
closed,بسته
closely,به طرز نزدیک
closet,کمد لباس
cloth,پارچه
clothes,لباس ها
clothing,تن پوش
cloud,ابر
club,باشگاه
coach,مربی ورزشی
coal,زغال سنگ
coast,ساحل
coat,کت
code,رمز
coffee,قهوه
coin,سکه
cold,سرد
coldly,بطور سرد
collapse,سقوط - فروپاشی
colleague,همکار
collect,جمع آوری
collection,مجموعه
college,دانشکده
colour,رنگ
coloured,رنگی
column,ستون
combination,ترکیب
combine,ترکیب کردن
come,بیا
come across,مواجه شدن
come down,ویران شدن
comedy,کمدی
come from,از کجا آمده است
come in,بفرمایید تو، بیا تو
come off,تحقق یافتن
come on,بیا دیگه
come out,بیا بیرون
come round,بهوش امدن
come to,آمدن به
come up,آمده تا
come up to,آمده تا
comfort,راحت
comfortable,راحت
comfortably,به راحتی
command,فرمان
comment,اظهار نظر
commercial,تجاری
commission,کمیسیون
commit,مرتکب شدن
commitment,تعهد
committee,کمیسیون
common,مشترک
commonly,عموما
communicate,برقراری ارتباط
communication,ارتباط
community,انجمن
company,شرکت
compare,مقایسه
comparison,مقایسه
compete,رقابت
competition,رقابت
competitive,رقابتی
complain,شكايت كردن
complaint,شکایت
complete,کامل
completely,به طور کامل
complex,پیچیده
complicate,پیچیده
complicated,بغرنج
computer,کامپیوتر
concentrate,تمرکز
concentrate on,تمرکز بر روی
concentration,تمرکز
concept,مفهوم
concern,نگرانی
concerned,نگران
concerning,مربوط به
concert,کنسرت
conclude,نتیجه گرفتن
conclusion,نتیجه
concrete,بتن
condition,وضعیت
conduct,هدایت
conduct,هدایت
conference,کنفرانس
confidence,اعتماد به نفس
confident,مطمئن
confidently,با اطمینان
confine,محدود کردن
confined,محدود
confirm,تایید
conflict,تعارض
confront,مواجه شدن
confuse,اشتباه
confused,سردرگم
confusing,گیج کننده
confusion,گیجی
congratulate,تبریک می گویم
congratulation,تبریک
congress,کنگره
connect,اتصال
connected,متصل
connection,ارتباط
conscious,هوشیار، آگاه
consequence,نتیجه
conservative,محافظه کار
consider,در نظر گرفتن
considerable,قابل توجه
considerably,بطور قابل توجهی
consideration,توجه
consist,تشکیل شده است از
consist of,شامل
constant,مقدار ثابت
constantly,به طور مداوم
construct,ساختن
construction,ساخت و ساز
consult,مشورت کردن
consumer,مصرف کننده
contact,مخاطب
contain,حاوی
container,ظرف
contemporary,امروزی
content 1,محتوای 1
contest,مسابقه
context,متن نوشته
continent,قاره
continue,ادامه هید
continuous,مداوم
continuously,به طور مداوم
contract,قرارداد
contract,قرارداد
contrast,تضاد
contrast,تضاد
contrasting,متضاد
contribute,مشارکت
contribution,مشارکت
control,کنترل
controlled,کنترل
convenient,راحت
convention,قرارداد
conventional,مرسوم
conversation,گفتگو
convert,تبدیل
convince,متقاعد کردن
cook,پختن
cooker,اجاق گاز
cookie,کوکی
cooking,پخت و پز
cool,سرد
cool down,آرام شدن
cope,مقابله
copy,کپی 🀄
core,هسته
corner,گوشه
correct,درست
correctly,به درستی
cost,هزینه
cottage,کلبه
cotton,پنبه
cough,سرفه کردن
coughing,سرفه
could,میتوانست
council,شورا
count,شمردن
counter,پیشخوان
count on,تعداد دفعات مشاهده شده
country,کشور
countryside,حومه شهر
county,شهرستان
couple,زن و شوهر
courage,شجاعت
course,دوره
court,دادگاه
cousin,عمو زاده
cover,پوشش دادن
covered,سرپوشیده
covering,پوشش
cover up,سرپوش گذاشتن
cow,گاو
crack,ترک
cracked,کرک
craft,مهارت
crash,تصادف در
crazy,دیوانه
cream,کرم رنگ
create,ایجاد کردن
creature,موجود
credit,اعتبار
credit card,کارت اعتباری
crime,جرم
criminal,جنایی
crisis,بحران
crisp,ترد
criterion,معیار
critical,بحرانی
criticism,انتقاد
criticize,انتقاد کردن
crop,محصول
cross,صلیب
cross out,عبور از
crowd,جمعیت
crowded,شلوغ
crown,تاج پادشاهی
crucial,حیاتی
cruel,ظالمانه
crush,له شدن
cry,گریه کردن
cry out,گریه کردن
cultural,فرهنگی
culture,فرهنگ
cup,فنجان
cupboard,کابینت
curb,محدود کردن
cure,درمان
curious,کنجکاو
curiously,جالب
curl,حلقه
curl up,حلقه
curly,مجعد
current,جاری
currently,در حال حاضر
curtain,پرده
curve,منحنی
curved,منحنی
custom,سفارشی
customer,مشتری
customs,گمرک
cut,قطع كردن
cut back,تماس برش
cut down,کاهش
cut off,قطع کردن
cut out,برش دادن
cut up,قطع کردن
cycle,چرخه
cycling,دوچرخه سواري
dad,پدر
daily,روزانه
damage,خسارت
damp,مرطوب آموزش زبان
dance,رقص
dancer,رقاص
dancing,رقص
danger,خطر
dangerous,خطرناک
dare,شهامت
dark,تاریک
data,داده ها
date,تاریخ
date back,تاریخ تماس
daughter,فرزند دختر
day,روز
dead,مرده
deaf,کر
deal,معامله
deal in,برخورد
deal with,سر و کار دارد با
dear,عزیز
death,مرگ
debate,مناظره
debt,بدهی
decade,دهه
decay,پوسیدگی
December,دسامبر
decide,تصميم گرفتن
decide on,تصمیم گیری در
decision,تصمیم
declare,اعلام
decline,کاهش می یابد
decorate,تزئین
decoration,تزیین
decorative,زینتی
decrease,نزول کردن
deep,عمیق
deeply,عمیقا
defeat,شکست
defence,دفاع
defend,دفاع
define,تعريف كردن
definite,قطعی
definitely,قطعا
definition,تعریف
degree,درجه
delay,تاخیر انداختن
deliberate,حساب شده
deliberately,عمدا
delicate,ظریف
delight,لذت بسیار
delighted,خوشحال
deliver,ارائه
delivery,تحویل
demand,تقاضا
demonstrate,نشان دادن
dentist,دندانپزشک
deny,انکار
department,بخش
departure,عزیمت، خروج
depend,بستگی دارد
depend on,بستگی دارد
deposit,سپرده
depress,افسرده
depressed,افسرده
depressing,افسرده
depth,عمق
derive,استخراج
derive from,مشتق از
describe,توصیف کردن
description,شرح
desert,کویر
desert,کویر
deserted,خالی از سکنه
deserve,سزاوار
design,طرح
desire,میل
desk,میز کار
desperate,مستاصل
desperately,به شدت
despite,با وجود
destroy,از بین رفتن
destruction,تخریب
detail,جزئیات
detailed,جزئیات
determination,تعیین
determine,تعیین
determined,مشخص
develop,توسعه
development,توسعه
device,دستگاه
devote,اختصاص
devoted,فداکار
devote to,اختصاص به
diagram,نمودار
diamond,الماس
diary,دفتر خاطرات
dictionary,فرهنگ لغت
die,مردن
die away,مرگ دور
die out,خاموش شدن
diet,رژیم غذایی
difference,تفاوت
different,ناهمسان
differently,بطور متفاوت
difficult,دشوار
difficulty,مشکل
dig,حفر کردن
digital,دیجیتال
dinner,شام
direct,مستقیم
direction,جهت
directly,به طور مستقیم
director,مدیر
dirt,خاک
dirty,کثیف
disabled,معلول
disadvantage,عیب
disagree,مخالف بودن
disagreement,اختلاف
disagree with doing,مخالفت با انجام
disappear,ناپدید شدن
disappoint,نا امید
disappointed,نا امید
disappointing,ناامید کننده
disappointment,نا امیدی
disapproval,عدم تایید
disapprove,مخالفت
disapproving,مخالف
disaster,فاجعه
disc,دیسک
discipline,انضباط
discount,تخفیف
discover,کشف کردن
discovery,کشف
discuss,بحث و گفتگو
discussion,بحث
disease,بیماری
disgust,انزجار
disgusted,منزجر
disgusting,چندش آور
dish,ظرف
dishonest,متقلب
dishonestly,صداقت
disk,دیسک
dislike,دوست نداشتن
dismiss,رد
display,نمایش دادن
dissolve,حل کردن
distance,فاصله
distinguish,تمیز دادن
distribute,توزیع کردن
distribution,توزیع
district,ناحیه
disturb,مزاحم
disturbing,اخلال
divide,تقسیم
division,بخش
divorce,طلاق
divorced,جدا شده
do 1,انجام 1
doctor,دکتر
document,سند
dog,سگ
dollar,دلار
domestic,داخلی
dominate,تسلط داشتن
door,در، درب
dot,نقطه
double,دو برابر
doubt,شک
do up,انجام دادن
do with,انجام با
do without,بدون انجام
down,پایین
downstairs,طبقه پایین
downward,رو به پایین
downwards,رو به پایین
dozen,دوجین
draft,پیش نویس
drag,کشیدن
drama,نمایش
dramatic,نمایشی
dramatically,به طور چشمگیری
draw,قرعه کشی
drawer,کشو
drawing,رسم
dream,رویا
dress,لباس
dressed,لباس پوشیده
dress up,لباس پوشیدن
drink,نوشیدن
drive,راندن
drive away,راندن
drive-off,رانندگی کردن
driver,راننده
driving,رانندگی
drop,رها کردن
drop out,رها کردن
drug,دارو
drugstore,داروخانه
drum,طبل
drunk,مست
dry,خشک
dry off,خشک کردن
dry up,خشک کردن
due,ناشی از
dull,کدر
dump,زباله
during,در حین
dust,گرد و خاک
duty,وظیفه
DVD,دی وی دی
dying,در حال مرگ
each,هر یک
each other,یکدیگر
ear,گوش
early,زود
earn,بدست آوردن
earth,زمین
ease,سهولت
easily,به راحتی
east,شرق
eastern,شرقی
easy,ساده
eat,خوردن
eat out,بیرون غذا خوردن
eat up,کامل خوردن
economic,اقتصادی
economy,اقتصاد
edge,حاشیه، غیرمتمرکز
edition,چاپ
editor,ویرایشگر
educate,آموزش
educated,آموزش
education,تحصیلات
effect,اثر
effective,تاثير گذار
effectively,به طور موثر
efficient,کارآمد
efficiently,موثر
effort,تلاش
e.g.,به عنوان مثال،
egg,تخم مرغ
eight,هشت
eighteen,هجده
eighteenth,هجدهم
eighth,هشتمین
eightieth,هشتادمین
eighty,هشتاد
either,هم
elbow,آرنج
elderly,مسن
elect,برگزیدن
election,انتخاب
electric,برقی
electrical,الکتریکی
electricity,برق
electronic,الکترونیکی
elegant,زیبا
element,عنصر
elevator,آسانسور
eleven,یازده
eleventh,یازدهم
else,دیگر
elsewhere,در جای دیگر
email,پست الکترونیک
embarrass,شرمسار
embarrassed,خجل
embarrassing,شرم آور
embarrassment,خجالت
emerge,ظهور
emergency,اضطراری
emotion,هیجانی
emotional,عاطفی
emotionally,احساسی
emphasis,تاکید
emphasize,اهمیت دادن
empire,فرمانروایی
employ,استخدام
employee,کارمند
employer,کارفرما
employment,استخدام
empty,خالی
enable,قادر ساختن
encounter,رویارویی
encourage,تشويق كردن
encouragement,تشویق
end,پایان
end in,پایان دادن به در
ending,پایان
end up,تا پایان
enemy,دشمن
energy,انرژی
engage,مشغول کردن
engaged,نامزد شده
engine,موتور
engineer,مهندس
engineering,مهندسی
enjoy,لذت ببرید
enjoyable,لذت بخش
enjoyment,لذت
enormous,عظیم
enough,کافی
enquiry,تحقیق
ensure,اطمینان حاصل شود
enter,وارد
entertain,سرگرم
entertainer,سرگرم کننده
entertaining,سرگرم کننده
entertainment,سرگرمی
enthusiasm,اشتیاق
enthusiastic,مشتاق
enthusiastically,با شور و شوق
entire,تمام
entirely,کاملا
entitle,حق داشتن
entrance 1,ورودی 1
entry,ورود
envelope,پاكت نامه
environment,محیط
environmental,محیطی
equal,برابر
equally,به همان اندازه
equipment,تجهیزات
equivalent,معادل
error,خطا
escape,در رفتن
especially,بخصوص
essay,مقاله
essential,ضروری
essentially,اساسا
establish,تاسيس كردن
estate,ملک
estimate,تخمین زدن
etc.,و غیره.
euro,یورو
even,زوج
evening,شب
event,رویداد
eventually,در نهایت
ever,همیشه
every,هر
everybody,هر کسی
everyone,هر کس
everything,همه چيز
everywhere,هر کجا
evidence,شواهد و مدارک
evil,بد
ex-,سابق-
exact,دقیق
exactly,دقیقا
exaggerate,اغراق کردن، مبالغه
exaggerated,اغراق آمیز
exam,امتحان
examination,معاینه
examine,معاینه کردن
example,مثال
excellent,عالی
except,جز
exception,استثنا
exchange,تبادل
excite,Excite در
excited,برانگیخته
excitement,هیجان
exciting,هیجان انگیز
exclude,محروم کردن
excluding,به استثنای
excuse,بهانه
excuse,بهانه
executive,اجرایی
exercise,ورزش
exhibit,نمایشگاه
exhibition,نمایشگاه
exist,وجود داشته باشد
existence,وجود داشتن
exit,خروج
expand,بسط دادن
expect,انتظار
expectation,انتظار
expected,انتظار می رود
expense,هزینه
expensive,گران
experience,تجربه
experienced,با تجربه
experiment,تجربه
expert,کارشناس
explain,توضیح
explanation,توضیح
explode,منفجر شدن
explore,کشف
explosion,انفجار
export,صادرات
export,صادرات
expose,در معرض گذاشتن
express,بیان
expression,اصطلاح
extend,توسعه دادن، گسترش
extension,افزونه
extensive,وسیع
extent,حد
extra,اضافی
extraordinary,خارق العاده
extreme,مفرط
extremely,خیلی
eye,چشم
face,صورت
face up to,رو به بالا به
facility,امکانات
fact,حقیقت
factor,عامل
factory,کارخانه
fail,مردود شدن
failure,شکست
faint,از هوش رفتن
faintly,کمرنگ
fair,نمایشگاه
fairly,منصفانه
faith,ایمان
faithful,با ایمان
faithfully,صادقانه
fall,سقوط
FALSE,FALSE
fame,شهرت
familiar,آشنا
family,خانواده
famous,معروف
fan,پنکه
fancy,تفننی
far,بسیار
farm,مزرعه
farmer,مزرعه دار
farming,کشاورزی
farther,دورتر
farthest,دورترین
fashion,روش
fashionable,مد روز
fast,سریع
fasten,سفت کردن
fat,چربی
father,پدر
faucet,شير آب
fault,عیب
favour,لطف
favourite,مورد علاقه
fear,ترس
feather,پر
feature,ویژگی
February,فوریه
federal,فدرال
fee,پرداخت
feed,خوراک
feel,احساس
feeling,احساس
fellow,همکار
female,زن
fence,حصار
festival,جشنواره
fetch,رفتن و آوردن
fever,تب
few,تعداد کمی
field,رشته
fifteen,پانزده
fifteenth,پانزدهمین
fifth,پنجم
fiftieth,پنجاهمین
fifty,پنجاه
fight,مبارزه کردن
fighting,مبارزه کردن
figure,شکل
figure out,کشف کردن
file,فایل
fill,پر
fill in,پرکردن
fill out,پرکردن
fill up,را پر کنید تا
film,فیلم
final,نهایی
finally,سرانجام
finance,دارایی، مالیه، سرمایه گذاری
financial,مالی
find,پیدا کردن
find out,پیدا کردن
fine,خوب
finely,ریز
finger,انگشت
finish,پایان
finished,تمام شده
finish off,پایان کردن
fire,آتش
firm,شرکت
firmly,محکم
first,اولین
fish,ماهی
fishing,ماهیگیری
fit,مناسب
fit in,جا در
five,پنج
fix,ثابت
fixed,درست شد
flag,پرچم
flame,شعله
flash,فلاش
flat,تخت
flavour,طعم
flesh,گوشت
flight,پرواز
float,شناور
flood,سیل
flooded,آب گرفتگی
flooding,جاری شدن سیل
floor,کف
flour,ارد
flow,جریان
flower,گل
flu,آنفولانزا
fly,پرواز
flying,پرواز
focus,تمرکز
fold,تا کردن
folding,تاشو
follow,دنبال کردن
following,ذیل
follow up,پیگیری
food,غذا
foot,پا
football,فوتبال
for,برای
force,زور
forecast,پیش بینی
foreign,خارجی
forest,جنگل
forever,تا ابد
forget,فراموش کردن
forgive,بخشیدن
fork,چنگال
form,فرم
formal,رسمی
formally,به طور رسمی
former,سابق
formerly,سابق
formula,فرمول
fortieth,چهلمین
fortune,ثروت
forty,چهل
forward,رو به جلو
found,پیدا شده
foundation,پایه
four,چهار
fourteen,چهارده
fourteenth,چهاردهم
fourth,چهارم
frame,قاب
free,رایگان
freedom,ازادی
freely,آزادانه
freeze,یخ زدگی
frequent,زود زود
frequently,مکررا
fresh,تازه
freshly,تازه
Friday,جمعه
fridge,سردخانه
friend,دوست
friendly,مهربان
friendship,دوستی
frighten,ترساندن
frighten away/off,ترساندن / خاموش
frightened,وحشت زده
frightening,ترسناک
from,از جانب
front,جلو
frozen,منجمد
fruit,میوه
fry,سرخ کردن
fuel,سوخت
full,پر شده
fully,کاملا
fun,سرگرمی
function,عملکرد
function as,تابع به عنوان
fund,سرمایه
fundamental,اساسی
funeral,مراسم خاکسپاری
funny,خنده دار
fur,خز
furniture,مبلمان
further,به علاوه
future,آینده
gain,کسب کردن
gallon,گالن
gamble,قمار
gambling,قمار
game,بازی
gap,شکاف
garage,گاراژ
garbage,زباله
garden,باغ
gas,گاز
gasoline,گازوئیل
gate,دروازه
gather,جمع آوری
gear,دنده
general,عمومی
generally,بطور کلی
generate,تولید می کنند
generation,نسل
generous,بخشنده
generously,سخاوتمندانه
gentle,ملایم
gentleman,آقا
gently,به آرامی
genuine,اصل
genuinely,واقعا
geography,جغرافیا
get,گرفتن
get away,گمشو
get away with,دور با
get back,برگرد
get by,دریافت
get in,در
get into,وارد شدن به
get off,دریافت کردن
get on,سوار شو
get on with,در تاریخ با
get out of,خارج شدن از
get over,دریافت بیش از
get round,دور
get round to,از دور به
get through,فهمیدن، متوجه شدن
get up,بلند شدن
giant,غول
gift,هدیه
girl,دختر
girlfriend,دوست دختر
give,دادن
give away,فاش کردن
give back,پس دادن
give in,تسلیم شدن
give off,بیرون دادن
give out,بیرون دادن
give up,دست برداشتن از
glad,خوشحال
glass,شیشه
global,جهانی
glove,دستکش
glue,چسب
go,بروید
go ahead,بفرمایید
